CITY,PROVINCE,,,,
Aba,Sichuan,,,,
Bazhong,Sichuan,,,,
Chengdu,Sichuan,,,,
Dazhou,Sichuan,,,,
Deyang,Sichuan,,,,
Ganzi,Sichuan,,,,
Guang'an,Sichuan,,,,
Guangyuan,Sichuan,,,,
Leshan,Sichuan,,,,
Liangshan,Sichuan,,,,
Luzhou,Sichuan,,,,
Meishan,Sichuan,,,,
Mianyang,Sichuan,,,,
Nanchong,Sichuan,,,,
Neijiang,Sichuan,,,,
Panzhihua,Sichuan,,,,
Suining,Sichuan,,,,
Ya'an,Sichuan,,,,
Yibin,Sichuan,,,,
Zigong City,Sichuan,,,,
Ziyang,Sichuan,,,,
Alashan League,Inner Mongol,,,,
Baotou City,Inner Mongol,,,,
Bayannaoer City,Inner Mongol,,,,
Chifeng City,Inner Mongol,,,,
Erdos City,Inner Mongol,,,,
Hohhot City,Inner Mongol,,,,
Hulunbeier City,Inner Mongol,,,,
Tongliao City,Inner Mongol,,,,
Wuhai City,Inner Mongol,,,,
Wulanchabu City,Inner Mongol,,,,
Xilinguole League,Inner Mongol,,,,
Xingan League,Inner Mongol,,,,
Daqing,Heilongjiang,,,,
Daxinganling,Heilongjiang,,,,
Harbin,Heilongjiang,,,,
Hegang,Heilongjiang,,,,
Heihe,Heilongjiang,,,,
Jiamusi,Heilongjiang,,,,
Jixi,Heilongjiang,,,,
Mudanjiang,Heilongjiang,,,,
Qiqihar,Heilongjiang,,,,
Qitaihe,Heilongjiang,,,,
Shuangyashan,Heilongjiang,,,,
Suihua,Heilongjiang,,,,
Yichun,Heilongjiang,,,,
